source	mor	target
CDK2	-1	RBL2
TNFRSF13C	-1	TRAF3
CSNK2B	1	BID
PERP	-1	NFKB1
PLK1	1	TTK
MAPK9	1	JUN
NLGN2	1	NRXN3
PTPN11	-1	SLC25A4
PTPN1	-1	STAT6
PPM1A	-1	AXIN1
MAPK7	1	SGK1
PRKCZ	1	SP1
DDX41	1	STING1
SRC	-1	SOCS1
PRKACA	1	PRKAR2B
ULK3	1	GLI3
PTPN1	-1	EPHA3
CDK1	1	PTPN1
PPM1A	1	PIK3R1
PPP2CA	-1	CILK1
STK25	1	CCM2
GPR35	1	GNAI3
PHLPP1	-1	RPS6KB1
GTF2F2	1	GTF2F1
MAPK14	-1	KHSRP
CAMK2A	-1	DLGAP1
CSNK2A1	1	PIAS1
PRKCE	1	ALDH2
EP300	1	MEF2C
MAPK3	1	CTTN
PDPK1	1	SGK2
PRKAA2	-1	RPTOR
IKBKB	1	BCL10
WNT7B	1	LRP5
CSNK2A2	1	TCF7L2
CSNK2A1	1	DTD1
MTCP1	1	AKT2
PTPN11	1	MAP3K5
UBE2I	-1	BHLHE40
CDK4	-1	SMAD3
PRKCA	1	EZR
CTSD	1	APP
TBL1X	1	CTNNB1
PTEN	-1	STAT5A
GPER1	1	GNG2
CSNK1D	1	TP53
PRKAB1	-1	RPTOR
CFH	-1	C3
MAPK10	1	BCL2L11
PTPRS	-1	EGFR
PTPN6	-1	SH3BP2
CSNK2A1	-1	SLBP
BTG2	1	HOXB9
FYN	-1	GRB10
PLK1	1	BIRC5
FGF1	1	FGFR4
ITGB4	1	PIK3CA
MBTPS1	1	CREB3L1
ETS1	-1	GFI1
GFI1	-1	ETS1
SYT1	1	SNAP25
CSNK1D	-1	LEF1
TAOK2	1	ELK1
PRKACA	1	ETV1
ATR	1	XRCC3
PABPC1	1	NFX1
NFX1	1	PABPC1
TLE2	-1	LEF1
NOG	-1	GDF5
GSK3B	-1	HNRNPD
PRKCI	1	LLGL1
CDK4	1	CELF1
SGK1	-1	NCSTN
RAP1GDS1	1	KRAS
PIMREG	-1	PICALM
PPP2CA	-1	EIF4E
A2M	-1	MMP2
MMP2	-1	A2M
MAPK9	1	BAZ1B
TRIP11	1	THRB
PRKCA	-1	ARHGDIB
EMSY	1	ZMYND11
MAPK1	-1	CALD1
PLK3	1	ATF2
BRSK1	-1	CDC25C
PRKCD	-1	GSK3A
GSK3B	-1	SMAD4
MYO1E	1	PTK2
CDK1	-1	NPM1
GSK3B	-1	PSEN1
ABL1	-1	SPTLC1
MAPKAPK5	1	DNAJB1
PRKG1	1	FHOD1
ATM	1	L3MBTL2
CSNK2A2	-1	PTEN
HMGB1	1	AGER
CDK11A	-1	SPDEF
MAPKAPK2	-1	ZFP36L1
MAPK3	-1	ETV6
BCL3	1	HDAC3
AKT1	1	FBXW7
DUSP5	-1	MAPK14
HIPK2	-1	HDAC3
MAPK1	1	GLI1
PRKCZ	-1	CTNNB1
PRKDC	1	XRCC6
APBB1	1	TSHZ3
PLK3	1	JUN
CSNK2A1	-1	FANCD2
BRD4	-1	MYC
ACP1	-1	AKT1
PTPN1	1	SRC
MTOR	-1	PRKN
ZMIZ1	1	AR
ATM	1	TTC5
PLK1	1	ARHGDIA
CRTC3	1	BCL3
PPP2R1A	1	PPP2CA
PTPRG	1	STAT1
CSNK1D	-1	PER1
AKT1	-1	CABLES1
ERBB2	-1	BBC3
CDK2	1	CCNO
PRKACA	1	PARP1
KPNA1	1	KPNB1
MAPK1	1	CDKN1B
MAPK3	1	CAPN2
ROCK1	-1	ARHGAP35
SPART	1	ITCH
ITCH	1	SPART
CSNK2A1	-1	PTEN
PLK3	-1	CDC25A
CSNK2A1	-1	JUN
PRKAA1	-1	DDIT3
MAPK1	1	KHDRBS1
EPN1	-1	EGFR
AKT1	-1	ADRB2
PRKG1	-1	HSPB1
FZD3	1	CXCL1
PIM3	-1	BAD
CDK5	1	DLC1
FGFR3	-1	CILK1
CCAR2	-1	HDAC3
SRC	-1	CDKN1B
GSK3B	1	CIITA
RPS6KB1	-1	PDCD4
PRKCD	-1	IRS1
MAPK14	1	SLC9A1
EIF2B1	1	EIF2S1
CSNK1E	1	APC
MAPK3	1	SREBF2
WDR62	1	CDK2
MAP3K7	-1	HDAC7
RIPK1	1	TRAF6
CSK	-1	ITCH
NEK1	-1	VDAC1
PCDH9	1	ITGB1
PTPN9	-1	NSF
MAP2K2	-1	CASP9
PRKDC	-1	PPARGC1A
PAK4	1	CTNNB1
TLN1	1	ITGB5
CSK	-1	LYN
EIF2B4	1	EIF2S1
PIM1	-1	FZR1
RBM15	1	SON
PRKCZ	1	PLA2G4A
PRKAA1	1	ACSS2
IKBKB	-1	IRS1
CHEK1	-1	PPP1R12A
PIK3C3	1	PTEN
FZD7	1	DVL1
SIN3B	-1	TP53
CSNK2A1	-1	DDHD1
MUTYH	1	ATR
PPP2CA	1	HDAC4
CDC14A	1	WEE1
TGFB1	-1	PAX8
FYN	1	JUP
CDK3	-1	TFCP2
PTPRJ	1	SRC
BDKRB2	1	GNA12
AKT2	-1	GSK3B
PRKACA	-1	GFAP
CALM2	1	GEM
GSK3A	-1	UNG
RIPK1	1	TAB3
CDK2	1	RNF138
SIRT1	1	XPA
MGRN1	1	TSG101
AURKA	-1	PIN1
PRKACA	-1	ARHGEF6
PIM1	-1	UHRF1
BIRC2	-1	CSE1L
ABL1	1	MYLK
SKP2	-1	CCNE1
CDK1	1	LMNA
PRKAA1	1	HIPK2
CFD	1	CFB
CDK2	1	RNF4
CDH1	1	SRC
PDGFRB	1	GRB2
IRAK1	1	PELI3
PELI3	1	IRAK1
STK11	1	PRKAA2
CSNK1A1	-1	FOXO6
XIAP	1	RIPK4
PRKCA	1	IQGAP1
GRK4	-1	BDKRB2
MAPK1	-1	UBTF
PRKAA1	-1	RPTOR
ROCK1	1	RDX
PRKACA	1	SGK1
AKT1	1	PEA15
JAK2	-1	MAP3K5
TBK1	-1	PBXIP1
MAPK14	1	MEF2A
CDK2	-1	SIRT2
CASP3	1	STK4
CDK2	1	MYBL2
CSNK1E	1	DVL2
MAPK1	1	METTL3
CDK1	1	CDC27
PRKCA	-1	CYTH2
PTEN	1	RAB7A
CDK13	1	EIF4B
CDK4	1	WDR77
IGF1R	1	PCNA
RBM38	1	CDKN1A
ATR	-1	DBF4
CDK5	1	FOXC2
MPG	-1	STK36
CHEK1	-1	NEK6
MAPK10	-1	NFATC1
CSNK2A2	-1	CTDP1
CSNK2A1	1	DAXX
PLK1	-1	STK38
AAK1	1	NUMB
SMO	1	GNB1
CSNK2A1	1	RELA
PDPK1	1	MAP2K1
GRK2	-1	MAPK14
MAPKAPK2	1	CASP3
SRC	-1	DMAP1
SRC	1	PRKD1
BAIAP2	1	WASF2
PTGER1	1	GNA12
MAPK8	-1	STMN1
TNPO1	1	FUS
ATR	1	CDC25C
WNT2	1	LRP5
ROCK1	-1	PPP1R12A
SRC	-1	MAPRE1
PRKG1	-1	SF1
AKT2	-1	CDKN1B
DOK1	-1	ITGB4
AKT1	1	AGAP2
F2RL2	1	GNA14
ZDHHC5	-1	EZH2
PIK3CB	-1	GSK3B
MAPK8	1	PXN
PPP2CA	-1	PAK1
PBK	1	HDAC1
PDPK1	1	IKBKB
AURKB	-1	CIT
CSNK2A1	1	RNF7
RIPK2	1	MAPK1
SMURF2	-1	KLF5
AXL	1	EGFR
CDK5	1	CDK16
PRKCA	1	SHC1
FRK	-1	EGFR
PINK1	-1	MAPT
CDH3	1	CTNNB1
AKT1	-1	CTBP1
MAPK7	1	PTK2
GSK3B	-1	NEB
GSK3B	-1	AR
TLE4	-1	PAX2
CDK16	-1	TP53
MAP3K7	1	SMAD1
ATM	1	XRCC6
PTPN11	-1	PTK2
CHUK	1	MECP2
EPHA4	1	GHR
IKBKB	1	IRF5
LATS2	-1	CDKN1A
LPAR1	1	GNA12
SRC	1	SIAH2
IGF1R	1	PTK2
ABL1	1	SNCA
P2RY1	1	GNAS
AURKA	1	EGFR
CAMK4	1	NOTCH1
CDK1	-1	DIAPH1
DYRK2	-1	TERT
ABL1	-1	CDKN1B
RAD50	1	BRCA1
MAP3K14	1	MMP14
MAP3K14	1	SLC9A1
SRC	1	RUNX1
SRC	1	TLR3
PRKCA	1	PDE3A
ABL1	1	MAVS
CDK7	-1	MBD4
PLCG2	1	CDKN1A
FYN	1	PTPN6
GSK3B	-1	JUNB
EIF2AK3	1	OGT
RHOBTB3	-1	CCNE1
RIPK4	1	DVL2
MMP2	1	TGFB1
CDK5	-1	DPYSL2
PRKACA	-1	CAPN2
PRKD1	1	KAT7
BMP1	1	COL5A1
FBXO25	-1	HAX1
FBXW7	-1	PSEN1
MAPK1	-1	RORA
CSNK1D	-1	YAP1
MAPK3	1	PLA2G4A
FANCM	1	FANCF
MAPK3	-1	BAD
BRCA1	-1	CDC25C
PPP1CA	1	CASP9
MC1R	1	GNAS
PKD1	1	SIAH1
ARHGAP35	-1	RAC1
PLK1	1	RAD51
PTPRC	1	FYN
DYRK1A	1	NFATC1
TYRO3	1	CBLB
CIT	1	MYL9
BMPR1B	1	SMAD9
LYN	1	DOK3
CDK2	1	ATRIP
PDPK1	1	PKN1
CSNK2A1	1	AKT1
AKT1	-1	PDCD4
ELMO2	1	RAC1
CDH11	1	CTNNB1
E4F1	1	TP53
TRIM21	-1	SQSTM1
PRKACA	-1	VIM
WEE1	-1	CDK2
CALM2	1	PPP3CB
MAP3K3	1	RCAN1
BTAF1	1	TBP
TRIM21	-1	FASN
UBE3A	-1	TP53
PRKDC	-1	POU2F1
CSNK2B	-1	ATF4
CDK1	1	RAD9A
GSK3B	-1	GRB14
MAPK1	1	JUND
SNAPIN	1	SNAP25
PRKAA2	-1	BAIAP2
SKP1	1	CUL1
PTPRG	1	PXN
CDC14A	-1	MAPK6
SH3RF1	-1	HGS
BIRC2	-1	EIF4E
PPP2CB	-1	SNCA
PDPK1	1	PKN2
PPP3CA	1	BAD
CASP3	1	GRIPAP1
DCAF1	-1	NF2
ACP1	-1	PDGFRB
CSNK2A1	-1	MME
RPS6KA2	-1	NFKBIA
CAV1	1	HMGA1
UBE2D2	-1	PEX5
ASXL2	1	PPARG
FGFR1	1	PDK1
CDK4	-1	PRDX1
CHFR	-1	HLTF
NOG	-1	BMPR2
PHLPP1	-1	RAF1
NCOR1	1	BCL6
SRP54	1	SRSF1
CSNK1A1	-1	AGO2
GREB1	-1	SMAD2
ERBB3	1	GRB2
HSPA2	-1	MAP3K5
SMAD3	-1	FOXA1
RNF149	-1	BRAF
PTPN1	-1	ABL1
CSNK2A2	1	EIF2B5
STUB1	-1	HIF1A
AURKB	-1	SSU72
PAK2	-1	PREX2
STUB1	-1	LRRK2
AKT1	1	BMI1
BAG3	1	HSPA8
SMURF1	-1	SMAD1
CDK1	-1	MCL1
PRKACA	1	AKAP12
PPP1CA	1	PREX1
LRRK2	-1	ARFGAP1
GRK2	-1	BDKRB2
CSNK1A1	-1	CBX4
CARD9	1	BCL10
INSR	-1	CALM1
CEP68	1	CDK5RAP2
SMURF1	-1	NFIC
PPP1CB	-1	AKT1
KAT2B	1	MEF2C
PRKCA	-1	CREBBP
DNM1	1	SYP
THBS1	1	NGF
MAPK3	1	PML
IKBKB	-1	TARDBP
SARS1	-1	MYC
SIK1	-1	CRTC2
PLK1	1	TNKS
PLK1	-1	IRS1
SRC	-1	GRB10
SH2B3	-1	JAK2
CSNK1D	1	CDK5
MAPK8IP2	1	MAPK8IP1
BMPR1A	1	SMAD9
MTCP1	1	AKT1
UBXN8	-1	VCP
MAPK3	-1	ERBB4
CSNK2A1	-1	NFKBIA
PRKAA1	1	TET2
GPSM3	-1	GNAI1
CDK1	1	SIRT1
YWHAG	1	GEM
CDK4	1	FOXO1
DUSP3	-1	MAPK3
CAMK1	1	ATF1
PTPN12	-1	GIT2
MAPK13	-1	EEF2K
PINK1	1	UBC
PRKCA	-1	MYL9
ACAT1	-1	PDP1
PAK1	1	ILK
PPP1CA	1	YAP1
CSK	1	NOTCH1
CSNK1E	1	TRAF3
PSENEN	1	PSEN1
KAT5	-1	NOTCH1
JAK2	1	GAB2
PRKCD	-1	CTNNB1
ADORA2B	1	GNAI1
NPTX1	1	BAX
VCP	-1	RIGI
LPAR2	1	GNAI1
ATM	1	SMURF2
PPP2CB	1	MDM2
WWP2	-1	POU5F1
HRAS	1	PIK3CA
CDK5	-1	PPP1CA
AURKB	1	RPRD1B
PRKCA	1	LMNA
KDM5B	1	CBX4
MAP3K1	1	STAT3
FGFR3	-1	TET2
CASP1	1	PSEN1
PRKCZ	1	VIM
TGFBR2	1	USP2
CDK9	-1	SMAD3
RBPJ	1	HEY1
BRAP	-1	USP15
USP15	1	BRAP
CSNK2A1	1	SNAI1
PTGER1	1	GNA14
PALB2	1	POLH
CSNK2A1	1	SNCA
PRKCA	1	VIM
RPS6KA3	-1	HMGN2
PAK2	1	JUN
HMGB1	1	TLR4
NCL	-1	MYBL1
HDAC2	1	ZNF318
DAB2IP	-1	JAK2
PLK3	-1	SNCA
CDK2	1	LIG1
MAP3K1	1	MAP2K6
PIM2	1	NFATC1
PRKD1	-1	PIP4K2A
FLT4	-1	RPS6KA3
AURKA	1	MBD3
SRC	1	GRB2
PLK1	1	YY1
CSNK2A1	1	MEF2C
PTAFR	1	GNAL
PRKCH	1	GSTP1
WWP2	-1	EGR2
PINK1	1	HTRA2
ULK1	-1	ENO1
EGLN3	1	BCL2L11
INSR	-1	PTEN
EDNRA	1	GNAL
CSNK2A1	1	IFI16
PPP3CC	-1	FLNA
NEDD4L	-1	OGG1
PRKCA	1	ARHGEF1
VEGFC	1	FLT4
MAPK3	-1	GSK3B
ATM	1	BUB3
NRBF2	-1	PIK3R4
SGK1	-1	NEDD4L
VAV2	1	RHOA
GNAI1	1	RAC1
MAPK3	1	MCL1
INPP5D	-1	TRAF6
GSK3B	1	PPP1R2
SRC	1	CTNNB1
MAPK3	-1	KLC1
MAPK1	-1	MRTFA
YES1	-1	YY1
CDK2	1	NR3C1
PRKACA	-1	CIITA
PPP1CA	1	CDC25C
FER	1	PRKCD
PPP2CA	-1	RACGAP1
PRKACA	1	DUOX1
GADD45A	-1	CDK11A
MAPK1	-1	FGFR1
NOG	-1	BMPR1B
PRKDC	1	AKT1
RALGDS	1	RIT1
CSNK2A2	1	HDAC2
PFN1	1	CDH4
PRC1	1	KIF23
LRRK2	1	RAB5B
ATG4B	1	MAP1LC3C
CSNK2A1	1	MDC1
ATR	1	KMT2A
PTP4A3	-1	PTEN
MAPK8	1	APP
CDK1	1	WAC
ADRA1B	1	GNA14
METTL3	1	USP13
CLK2	-1	PPARGC1A
CTNNB1	1	KLF4
TP53INP1	1	MAP1LC3B
PRKAA2	-1	HIPK2
STIP1	-1	HSP90AB1
UBE2I	1	MBD4
PLK1	1	SVIL
RNF11	-1	STAMBP
LYN	-1	YY1
PRKCD	1	PPP1R14B
BAD	1	TP53
HTR7	1	GNAI3
MAPK1	-1	NR3C2
MAPK9	-1	SFN
GPR35	1	GNA12
PTGER2	1	GNAS
STUB1	-1	CBX4
RPS6KA1	1	ETV1
PRKCA	1	PLA2G4A
MAP3K7	-1	NFKBIB
SRC	1	YAP1
EIF2B2	1	EIF2S2
CDK5	1	CLOCK
HIPK2	1	CDKN1B
PRKG1	1	GTF2I
MAPK8	1	PIN1
PPP1R9B	1	ARHGEF2
WNK1	1	STK39
NUAK1	-1	CASP6
SARM1	-1	TICAM1
ARHGEF11	1	RHOA
USP13	1	ATG5
CDK2	1	CDC25C
PRKCD	-1	LIMK2
DAPK3	1	MDM2
NTN3	1	NEO1
RPS6KA1	-1	CDC25A
DYRK1A	-1	MEF2D
AKT1	-1	PPARGC1A
MAPK3	1	SREBF1
ULK1	1	YAP1
SRC	-1	PRKAA2
PIM1	1	YWHAZ
ROR1	1	SRC
AKT1	1	HSF1
PTPRR	-1	STAT3
LYN	-1	CASP8
CDK7	1	CDK11B
PAK2	-1	VIM
PAK4	-1	NFE2L2
RPS6KA5	-1	EIF4EBP1
MAPK8	-1	LAT
MAPK3	1	HDAC6
DVL1	1	PLCB1
PRKAA1	-1	EGLN1
G3BP2	-1	MDM2
PRKCD	1	PTPRA
SRC	1	AREG
CSNK2A1	-1	DDIT3
RPS6KB1	-1	HSPB1
G3BP1	1	EIF2AK2
FZD1	1	DVL3
PLK1	1	RACGAP1
CILK1	1	RPTOR
PABPC1	1	EIF4E
IKBKE	-1	FAF1
FBXO2	1	STUB1
SPART	1	WWP1
AKT2	-1	ADAR
MAPKAPK2	1	AATF
GSK3B	1	RXRA
CDK2	-1	ID2
DDR1	1	TM4SF1
FNTA	1	KRAS
TPX2	1	CLASP1
AKT1	1	CARD11
PLK1	1	TERF1
NRCAM	1	ANK3
VIM	1	LARP6
DAPK1	-1	PELI1
GSK3B	-1	WT1
PRKG1	-1	ENAH
PIAS1	-1	FHL1
LATS2	1	AMOT
AKT1	-1	CDKN1C
ATM	1	CHEK1
CSNK2A2	1	HDAC1
PRKD1	1	KIDINS220
CAMK4	-1	HDAC5
PRKCD	1	TP73
CEP192	1	AURKA
AKT1	1	LARP6
SMURF1	-1	RUNX2
TCEA1	1	UBR5
CSNK2A1	1	IGFBP3
ROCK1	-1	PPP1R12B
NUAK2	-1	LATS1
HDAC7	-1	PLAG1
NR3C1	1	HDAC1
ITGB1BP1	-1	ITGB4
PRKAA1	1	RBBP7
GNA13	1	ARHGEF12
BCAR1	-1	SMAD3
CSNK2A1	1	CDC27
PLK1	-1	IKBKB
LPAR4	1	GNA14
SRC	-1	PPP2CA
MAPK3	1	SMAD4
CHEK1	-1	MDM4
STK11	1	TP53
ID1	1	AKT1
PRKCA	1	PTPN11
PRKCD	-1	ADRB2
CCP110	1	CALM3
AKT3	-1	CASP9
CASP3	-1	PTCH1
SMURF1	-1	FERMT2
TRADD	1	TRAF5
CEP68	1	PCNT
AKT1	1	ITCH
MAPK1	1	EP300
CDK5	1	AR
MAPK14	1	NR3C1
FGFR2	1	PTEN
RFWD3	1	RAD51
CDK4	1	PELP1
DYRK1A	-1	SPRY2
NUMB	-1	MDM2
MDM2	-1	NUMB
LRRK2	1	AKT1
MAPK1	1	CSNK2A1
P2RY1	1	GNAI1
CDK1	1	RANGAP1
PTK7	-1	CTNNB1
SPOP	-1	GLI2
CSNK2A2	1	PPP1R2
ULK3	1	GLI2
MAPK13	-1	PRKD1
DOK1	-1	ITGB7
UBE2I	-1	JUN
FBXW7	-1	EGLN2
BRCA1	1	FANCD2
PGAM5	1	MAP3K5
HIPK2	1	PAX6
FGF2	1	FGFR4
AKT2	-1	STXBP4
GSK3B	1	AHR
CSNK2A1	-1	HOXB7
PPP2CA	1	RAF1
PAK1	-1	BCL6
AKT1	-1	MITF
JAK2	1	ARHGEF1
FYN	1	ACP1
PIN1	-1	KLF10
CHEK1	1	ASF1A
SMURF1	-1	TGFBR2
PRKCA	1	CDKN2D
AKT1	-1	YAP1
PPP2CA	1	TFCP2
PLK1	-1	SUN1
USP9X	-1	EPS15
PRKCH	-1	GSK3B
RAD23B	1	RPA1
NRBF2	-1	PIK3C3
PELI3	-1	TRAF6
PPP1R9B	1	SPATA13
SMAD3	-1	PAX6
CSNK2A1	1	TOP1
UBE2D1	1	TRIM65
PRKCE	1	MIIP
BRD2	1	TP53BP1
CDK2	-1	CDC6
CSNK2A1	1	CAV2
PRKCA	-1	UNC5A
PRKACA	1	TFAP2A
PIN1	1	IRS1
PRKAA2	-1	VASP
MAPK1	1	MED1
CSNK1A1	-1	NFATC3
ZNRF3	-1	LRP6
PTPRB	-1	INSR
PER2	-1	POU2F1
CASP1	1	SPHK2
PRKCZ	-1	HABP4
TLE5	-1	ZNF503
EP300	1	KPNA2
MAPK1	-1	IRS1
MAPKAPK2	-1	YWHAZ
ABL1	1	IRF3
MYOM1	1	OBSCN
LYN	1	PTGS2
KLF16	1	SIN3A
CDK2	-1	CDH1
PRKAA1	1	ALDH2
MARK1	-1	TNK1
PRKCZ	-1	YAP1
PRKCA	1	PLD2
PAK3	1	RAF1
DYRK2	-1	CDC25A
CDK2	-1	PRDX1
CHRM2	1	GNAI1
TAOK3	1	STK4
PPP1CA	1	NR3C1
PRKCZ	1	GSTP1
SAFB	1	FUS
ITGB4	1	PIK3CD
GSK3B	-1	BMAL1
PPM1D	-1	KDM1A
ATR	1	WDHD1
GNAQ	1	ARHGEF28
MAPK14	-1	BCL2
MRE11	1	NBN
USP9X	1	WT1
ARAP1	-1	CDC42
PRKAA1	1	KPNA2
PRKCA	1	NKX3-1
PRKCA	1	F11R
CSNK2A1	1	CAST
PRKAA1	1	NFE2L2
ARHGEF25	1	CDC42
SH3RF1	1	MAP3K11
JDP2	-1	ATF2
MAPK1	1	PCBP2
PABIR1	-1	PPP2R2A
CDK8	-1	E2F1
PTPN6	-1	NTRK1
PTH1R	1	LRP6
NUAK1	-1	PPP1R12A
AKT1	-1	NQO1
CAMK2A	-1	STMN1
PRKD3	1	HDAC7
GSK3B	-1	CAMKK2
DYRK2	1	SIAH2
HACE1	-1	CCND1
AKT2	1	MYO5A
SPOP	-1	GLI3
PTPN11	1	CDKN1B
SGK1	-1	HTT
CNTNAP1	1	CNTN1
LYN	1	PAG1
UCHL5	1	SMAD3
SRC	1	ARHGAP5
AXL	1	NEDD9
CHEK2	1	AURKB
PPP1CA	-1	BRCA1
AURKA	-1	NFKBIA
AURKA	-1	STMN1
BRAF	1	ABL1
CDK1	1	NTHL1
CDK1	-1	NUP35
CDK5	1	PRNP
CDK5	1	PXN
SENP1	-1	AKT1
CDK5	1	VIM
CDK7	1	CDK5
ROCK1	1	FHOD1
PRKACA	1	NCOA3
CHUK	1	PIAS1
CSNK2A1	1	PPP1R2
CHUK	-1	RIPK1
DUSP1	1	RUNX2
CSF1R	1	CTNND1
CSNK2A1	1	HES6
CDK2	1	EZH2
EP300	1	DUSP1
CDK13	1	EIF4EBP1
IER3	-1	PPP2R5C
PTEN	-1	IRS1
AURKA	1	WDR62
PTPN1	-1	NTRK1
CDK6	1	RUNX1
PTGER4	1	GNAS
GSK3B	-1	NR3C1
DOK1	-1	ITGB3
EIF5	1	EIF5B
ADARB1	1	EIF2AK2
EGFR	1	AGO2
EGFR	1	TLR3
MAPK8	1	FOXO4
PDGFRB	1	TNK2
PRKACA	1	ERBB2
PLK1	1	USP16
LPAR1	1	GNAI1
EIF2AK3	-1	PPP3CA
EPHA4	1	STAT5B
FRAT1	1	EIF2B5
BIRC2	1	RIPK2
EGFR	1	HGS
PIAS4	1	RPA2
ARRB2	1	KIF3A
PRKACA	-1	PTPN11
SSTR1	1	GNA12
FES	1	STAT3
CDC20	-1	FBXO31
CDH6	1	CTNNB1
PRKCA	-1	EWSR1
NEK6	1	RPS6KB1
GNB3	1	PLCG1
MAPK3	-1	FOXO3
BRD2	1	ZMYND8
ATM	-1	NKX3-1
PTPRK	-1	EGFR
GSK3B	1	CDKN1B
INSR	1	PTPN6
TPR	1	MAD2L1
PRKCA	-1	EGLN2
SRC	-1	RRAS
PRMT5	1	HOXA9
PIM1	1	HIF1A
FAS	1	RIPK1
RIPK1	1	FAS
CHUK	-1	COPS5
ATM	1	PEX5
PAK4	-1	FH
PTPRH	-1	INSR
USP8	1	BACE1
INSR	-1	CALM2
CTNNA1	-1	YAP1
RNF8	1	RAD18
CDK1	-1	MORC2
PTPN1	-1	MET
MAPK14	1	SIAH2
ROCK1	1	ARHGAP24
MDM2	-1	TP73
LRRK1	1	RAB7A
PTPRJ	-1	MAPK3
GSK3B	1	HDAC6
HIPK2	-1	AATF
RAD1	1	TOPBP1
HIPK2	1	EP300
AURKA	-1	TP73
MAPK1	1	RUNX1
HIPK2	1	FOXM1
LRRK2	1	RIPK2
INSR	1	FRS2
INSR	1	KHDRBS1
PTK2	-1	CTTN
CDK8	-1	SMAD3
ACVR2B	1	SMAD3
FYN	1	TGFB1I1
IRAK1	1	PELI2
S1PR1	1	GNAI3
JAK1	1	RIPK1
RACK1	1	PTK7
PAK2	-1	CASP7
PPM1A	-1	PAK1
CHEK1	1	E2F3
LIMK2	-1	NKX3-1
PRKCD	1	CYBA
BRSK1	1	CAST
LIMK2	1	TWIST1
CDK1	1	RNF138
MAP3K7	-1	YAP1
CALM2	1	PPP3CA
FOXA1	1	NFIB
CSNK2A2	1	WAS
CDK4	-1	RBL1
PRKCA	1	LRP1
PIK3AP1	1	PIK3CB
FYN	1	CDK5
PRKCH	1	PRKD2
WWTR1	1	SMAD2
EDNRB	1	GNAI1
AGTR1	1	GNG12
TAB1	-1	ROR2
PRKCE	1	SHC1
MAPK14	1	KAT5
HTR1D	1	GNAI3
STK11	1	PRMT5
CDK1	-1	WWTR1
STK4	1	LATS2
SRC	1	ARAF
MTOR	-1	EIF4E
PTK2B	1	ID3
MAPK1	1	BMF
H1-2	-1	TP53BP1
MAPK3	-1	MCRIP1
PAK1	1	NLRP3
FGFR1	1	BCAR1
WNT10B	1	LRP6
SRC	-1	IKBKG
PPM1A	-1	RELA
MAPK3	1	PTTG1
CHEK1	-1	ERRFI1
CSNK1A1	1	BID
CLK3	1	USP13
AURKB	-1	CDCA5
GRK2	-1	PDGFRB
CAPRIN1	1	G3BP1
LATS2	-1	AMOTL2
MARK2	1	PINK1
PIM1	1	RUNX1
PRKCA	-1	CALD1
CASP6	1	CASP8
NEDD4	1	IRS2
PRKAA2	-1	CRTC2
PTK2	1	WASL
STK11	-1	PAK1
TBK1	-1	DDAH2
CDK1	1	RUNX1
TRIM32	-1	MYC
STUB1	-1	FMR1
MSH6	1	BLM
CNOT9	1	GIGYF2
SRC	1	STAT5A
RAF1	-1	PPP1R12A
RAN	1	XPO1
MASTL	1	ARPP19
PRKAA1	1	TSC2
CDK1	-1	LBR
PRKACA	1	CDK18
IKBKB	1	TP53
IGF2	1	INSR
CRKL	1	PIK3CB
USP9X	1	UBA52
PTK2	1	GSK3B
RAB7A	-1	ALS2
SGK1	1	CHUK
SGK1	-1	VDAC1
PTEN	1	NKX3-1
SRC	1	HIPK2
GSK3B	1	USF2
GNA12	1	AKAP13
SRC	1	KRAS
STK11	1	SIK2
PTEN	1	IRF3
CDK5	1	AGAP2
STK11	1	F2R
STK25	1	YAP1
DCAF1	-1	LATS2
MAPK1	1	PARP1
GATA2	-1	PPARG
GSK3B	-1	GFI1
MTOR	-1	AMOTL2
CSNK1A1	-1	FOXO4
PPP2CA	1	RBL2
PRKCD	-1	TSC2
CDK1	1	ORC1
AKT2	-1	FOXO4
TBK1	-1	CDH1
TBK1	1	DDX3X
GSK3B	1	RELA
WNT10B	1	LRP5
PITRM1	-1	APP
CASP3	-1	BRCA1
AKT2	-1	SH3RF1
TPR	1	MAD1L1
PTPN9	-1	GHR
AKT1	-1	GATA2
CDK2	1	ELK4
TTK	1	MAD1L1
PPM1A	-1	TBK1
XPO1	-1	TP53
STIP1	-1	HSP90AA1
PTPN6	-1	MAP3K7
CDK1	1	CLASP2
CDK1	1	USP22
GSK3B	-1	ZNF322
CSNK2A1	-1	C1R
PRKACA	1	LRP1
AKT1	1	CBY1
GSK3A	-1	GRB14
CDK1	-1	ABI1
PRKCA	-1	GSK3B
ATM	1	MPG
ATM	1	RANBP9
MAML1	1	EP300
ATM	-1	RELA
DVL2	-1	RBPJ
PSMA6	-1	XBP1
PDPK1	1	RPS6KB2
STK38L	1	FLNA
HDLBP	1	RAD51
PRKACA	-1	PPP1R8
AURKA	-1	BCL2L11
AURKB	1	BUB1
CDK1	-1	ELAVL1
PTPN6	1	CASP8
TET2	1	OGT
CSNK1D	-1	MAPT
PRKAA1	-1	GLI1
MAPK7	1	ETS1
PTPRG	1	STAT5A
PTPN6	-1	CTNNB1
RPS6KA3	1	EIF2AK2
CSNK2A1	-1	CTDP1
CDK20	1	EZH2
